Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Debt Service Fund,Debt Expense,Debt Svc Fd GO2009,Debt Principal Pmts GOB,130000,130000,2016,2016-1151-910-89210-GO2009  -00000000-6633
Water Fund,Salaries/Benefit Exp,Water General Operations,Benefits Retirement,25212,25212,2016,2016-5212-510-80910-00000000-WGENX   -5051-
General Fund,Supplies Exp,Genl Fd Jail,Supplies Promotional,333,333,2016,2016-1001-410-80355-00000000-00000000-5115-
Electric Fund,Supplies Exp,Elec Whse Safety & Related Exp,Supplies Safety,147,147,2016,2016-5211-500-80800-00000000-925     -5122
General Fund,Replacements Exp,Genl Fd Code Enforcement,Replacement UPS,833,833,2016,2016-1001-450-80610-00000000-00000000-5605
Electric Fund,Purchased Services,Elec Sub Safety,Travel Lodging/Transport/Other,10473,10473,2016,2016-5211-500-80820-00000000-925     -5570-
General Fund,Utilities Exp,Genl Fd Thomas Pool,Utilities Sanitation,185,185,2016,2016-1001-530-81125-AQ732   -00000000-5408
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Oper,Salaries Full Time Labor,38708,38708,2016,2016-5212-510-80900-00000000-WPMPX   -5011-
Water Fund,Supplies Exp,Water Distribution Operations,Supplies Minor Equip/Tools,15000,15000,2016,2016-5212-510-80910-00000000-WDISX   -5102-
General Fund,Salaries/Benefit Exp,Genl Fd Support Services,Salaries Full Time Labor,221655,221655,2016,2016-1001-410-80340-00000000-00000000-5011
General Fund,Supplies Exp,Genl Fd Tourism Special Events,Supplies Medical,500,500,2016,2016-1001-530-81121-00000000-00000000-5111
General Fund,Supplies Exp,Genl Fd Neighborhood Services,Supplies Goodwill,25322,25322,2016,2016-1001-100-80151-00000000-00000000-5116
Fleet Maintenance Fund,Maintenance Exp,Fleet Fd Admin,Maint Heavy Equipment,7000,7000,2016,2016-2227-440-80791-00000000-00000000-5205
General Fund,Prof Svcs Exp,Genl Fd Human Resources,Prof Svcs Miscellaneous,4000,16500,2016,2016-1001-100-80160-00000000-00000000-5399
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Maintenance,Benefits Gym Membership,122,122,2016,2016-5213-520-80960-00000000-SGMTM   -5060-
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Salaries Language Pay,700,700,2016,2016-1001-300-80210-00000000-00000000-5018
General Fund,Supplies Exp,Genl Fd Recruiting & Training,Supplies Minor Equip/Tools,234,234,2016,2016-1001-410-80330-00000000-00000000-5102
Water Fund,Salaries/Benefit Exp,Water General Maintenance,Benefits FICA,4982,4982,2016,2016-5212-510-80910-00000000-WGENM   -5050-
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Pre Employment Costs,89,89,2016,2016-5212-510-80910-00000000-WGENX   -5307-
